央视,#genre#
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8#http://117.148.179.155/TVOD/88888888/224/3221231468/index.m3u8#http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8#http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8$7418#http://183.207.249.208/ott.js.chinamobile.com/PLTV/3/224/3221227641/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8$1959#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8$6649#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8$6896#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8$8097#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8$7246#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8$8227#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8$9489#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8$8788#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225918/index.m3u8
CCTV2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8#http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8#http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8#http://183.207.248.176/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8#http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221226993/index.m3u8#http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225572/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225919/index.m3u8?fmt=ts2hls#http://iptv.tvfix.org/hls/cctv2hd.m3u8#https://cctv5cncc.v.wscdns.com/live/cctv2_1/index.m3u8?adapt=0&BR=audio
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://112.74.200.9:88/tv000000/m3u8.php?/migu/624878271#http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8#http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8#http://117.148.179.183/TVOD/88888888/224/3221231682/index.m3u8#http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8#http://183.207.249.165/ott.js.chinamobile.com/PLTV/3/224/3221227424/index.m3u8#http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227546/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225647/index.m3u8#http://cctv.v.myalicdn.com/live/cctv3_1audio.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8#http://iptv.tvfix.org/hls/cctv3hd.m3u8#http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000131&playtoken=ABCDEFGH&auth=no
CCTV4,http://117.148.179.158/PLTV/88888888/224/3221231654/index.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8#http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8#http://183.207.248.144/ott.js.chinamobile.com/PLTV/3/224/3221227489/index.m3u8#http://183.207.249.137/ott.js.chinamobile.com/PLTV/3/224/3221227683/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225571/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#http://iptv.tvfix.org/hls/cctv4hd.m3u8#https://cctv5cncc.v.wscdns.com/live/cctv4_1/index.m3u8?adapt=0&BR=audio#https://cctv5cncc.v.wscdns.com/live/cctvamerica_1/index.m3u8?adapt=0&BR=audio#https://cctv5cncc.v.wscdns.com/live/cctveurope_1/index.m3u8?adapt=0&BR=audio
CCTV5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8#http://183.207.249.134/ott.js.chinamobile.com/PLTV/3/224/3221227463/index.m3u8#http://183.207.249.229/ott.js.chinamobile.com/PLTV/3/224/3221227522/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8
CCTV5,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8#http://117.148.179.165/PLTV/88888888/224/3221231702/index.m3u8#http://140.207.241.2:8080/live/program/live/cctv5hd/4000000/mnf.m3u8#http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227466/index.m3u8#http://183.207.249.134/ott.js.chinamobile.com/PLTV/3/224/3221227537/index.m3u8#http://183.207.249.137/ott.js.chinamobile.com/PLTV/3/224/3221227617/index.m3u8#http://183.207.249.200/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8$9221#http://39.135.138.59:18890/PLTV/88888910/224/3221225756/index.m3u8$7479#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225753/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225754/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225755/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225756/index.m3u8
CCTV6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8#http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8#http://183.207.248.176/ott.js.chinamobile.com/PLTV/3/224/3221227505/index.m3u8#http://183.207.249.139/ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8#http://cctv.v.myalicdn.com/live/cctv6_1audio.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8#http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8#http://183.207.248.167/ott.js.chinamobile.com/PLTV/3/224/3221227314/index.m3u8#http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227626/index.m3u8#http://183.207.249.136/ott.js.chinamobile.com/PLTV/3/224/3221225546/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225570/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225624/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8#http://iptv.tvfix.org/hls/cctv7hd.m3u8#https://cctv5cncc.v.wscdns.com/live/cctv7_1/index.m3u8?adapt=0&BR=audio
CCTV8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8#http://183.207.248.142/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8#http://183.207.248.167/ott.js.chinamobile.com/PLTV/3/224/3221227433/index.m3u8#http://183.207.248.174/ott.js.chinamobile.com/PLTV/3/224/3221227750/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225631/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://cctv.v.myalicdn.com/live/cctv8_1audio.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8#http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8#http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221225868/index.m3u8#http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221225532/index.m3u8#http://183.207.249.208/ott.js.chinamobile.com/PLTV/3/224/3221227704/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225646/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225626/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225920/index.m3u8?fmt=ts2hls#http://iptv.tvfix.org/hls/cctv9hd.m3u8#https://cctv5cncc.v.wscdns.com/live/cctvjilu_1/index.m3u8?adapt=0&BR=audio
